username,repo name,repo url,star count
arendst,Tasmota,https://github.com/arendst/Tasmota,20300
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,15300
arduino,Arduino,https://github.com/arduino/Arduino,13700
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,13500
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,13100
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,12100
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,11300
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,8800
hybridgroup,gobot,https://github.com/hybridgroup/gobot,8400
platformio,platformio-core,https://github.com/platformio/platformio-core,7000
bblanchon,ArduinoJson,https://github.com/bblanchon/ArduinoJson,6300
tzapu,WiFiManager,https://github.com/tzapu/WiFiManager,6000
olikraus,u8g2,https://github.com/olikraus/u8g2,4200
ClemensElflein,OpenMower,https://github.com/ClemensElflein/OpenMower,4100
Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,4100
arduino,arduino-cli,https://github.com/arduino/arduino-cli,4000
hybridgroup,cylon,https://github.com/hybridgroup/cylon,4000
blynkkk,blynk-library,https://github.com/blynkkk/blynk-library,3700
Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,3700
NerdLang,nerd,https://github.com/NerdLang/nerd,3500
