username,repo name,repo url,star count
localstack,localstack,https://github.com/localstack/localstack,48600
harness,gitness,https://github.com/harness/gitness,28500
jenkinsci,jenkins,https://github.com/jenkinsci/jenkins,21500
auchenberg,volkswagen,https://github.com/auchenberg/volkswagen,12700
theonedev,onedev,https://github.com/theonedev/onedev,11900
dagger,dagger,https://github.com/dagger/dagger,9000
openshift,origin,https://github.com/openshift/origin,8400
concourse,concourse,https://github.com/concourse/concourse,7000
gocd,gocd,https://github.com/gocd/gocd,6900
milanm,DevOps-Roadmap,https://github.com/milanm/DevOps-Roadmap,6100
gaia-pipeline,gaia,https://github.com/gaia-pipeline/gaia,5100
buildbot,buildbot,https://github.com/buildbot/buildbot,5100
Strider-CD,strider,https://github.com/Strider-CD/strider,4600
jenkins-x,jx,https://github.com/jenkins-x/jx,4400
ovh,cds,https://github.com/ovh/cds,4300
xcpretty,xcpretty,https://github.com/xcpretty/xcpretty,3900
JamesIves,github-pages-deploy-action,https://github.com/JamesIves/github-pages-deploy-action,3800
iterative,cml,https://github.com/iterative/cml,3800
hygieia,hygieia,https://github.com/hygieia/hygieia,3800
werf,werf,https://github.com/werf/werf,3800
